13009,45.40,80.90
13011,40.90,77.65
13013,40.20,76.90
13015,40.20,77.60
13017,49.10,81.30
13019,49.10,81.30
13021,45.40,80.90
13023,45.40,80.90
13025,50.20,82.00
13027,51.30,81.40
13029,48.35,81.60
13031,48.35,81.60
13033,45.80,81.17
13035,44.65,80.15
13037,48.70,81.20
13039,51.85,81.75
13043,48.35,81.60
13045,41.92,78.42
13047,38.40,77.00
13049,51.85,81.75
13051,48.00,81.57
13053,46.70,80.50
13055,40.20,78.30
13057,40.20,77.60
13059,40.90,77.65
13061,48.10,81.05
13063,42.05,78.15
13065,50.93,81.60
13067,40.20,77.60
13069,49.65,81.65
13071,48.90,81.25
13073,43.90,80.13
13075,49.10,81.30
13077,42.05,78.15
13079,44.65,80.15
13081,48.90,81.25
13083,38.38,76.95
13085,40.20,76.90
13087,49.75,81.30
13089,43.17,79.07
13091,47.25,81.10
13093,46.77,80.70
13095,48.90,81.25
13097,41.43,78.20
13099,48.10,81.05
13101,51.30,81.40
13103,48.00,81.57
13105,42.23,79.50
13107,47.37,81.37
13109,48.35,81.60
13111,37.43,74.77
13113,42.05,78.15
13115,40.20,78.30
13117,40.20,76.90
13119,41.55,78.85
13121,42.05,78.15
13123,40.20,77.60
13125,45.95,81.05
13127,50.20,82.00
13129,40.20,77.60
13131,48.70,81.20
13133,42.40,78.73
13135,42.80,78.90
13137,40.57,77.23
13139,40.90,77.65
13141,45.95,81.05
13143,42.05,78.85
13145,43.65,79.25
13147,41.55,78.85
13149,43.65,79.25
13151,43.17,79.07
13153,46.13,80.53
13155,49.10,81.30
13157,40.90,77.65
13159,45.40,80.90
13161,48.23,81.40
13163,45.95,81.05
13165,46.50,81.20
13167,45.95,81.05
13169,45.40,80.90
13171,44.65,80.15
13173,49.10,81.30
13175,45.40,80.90
13177,48.90,81.25
13179,50.20,82.00
13181,43.90,80.13
13183,50.20,82.00
13185,51.30,81.40
13187,40.20,76.90
13189,44.05,79.80
13191,50.20,82.00
13193,46.77,80.70
13195,40.90,77.65
13197,46.30,80.30
13199,43.90,79.40
13201,48.70,81.20
13205,48.90,81.25
13207,44.65,80.15
13209,48.23,81.40
13211,42.80,78.90
13213,39.00,76.97
13215,44.93,79.80
13217,43.17,79.07
13219,42.40,78.73
13221,42.40,78.73
13223,41.43,78.20
13225,44.65,80.15
13227,40.20,76.90
13229,50.20,82.00
13231,43.90,79.40
13233,42.05,78.85
13235,47.25,81.10
13237,45.40,80.90
13239,48.10,81.05
13241,40.57,77.23
13243,48.70,81.20
13245,45.05,81.00
13247,43.17,79.07
13249,46.30,80.30
13251,46.90,81.35
13253,49.00,81.17
13255,44.65,80.15
13257,41.00,78.03
13259,48.10,81.05
13261,47.23,80.63
13263,43.90,79.40
13265,44.50,80.17
13267,50.20,82.00
13269,44.65,80.15
13271,47.25,81.10
13273,48.70,81.20
13275,48.90,81.25
13277,49.10,81.30
13279,47.80,81.35
13281,39.10,75.67
13283,47.37,81.37
13285,43.90,79.40
13287,49.10,81.30
13289,45.40,80.90
13291,37.85,74.30
13293,44.65,80.15
13295,39.17,77.53
13297,42.80,78.90
13299,50.93,81.60
13301,44.50,80.17
13303,45.95,81.05
13305,50.20,82.00
13307,46.30,80.30
13309,47.25,81.10
13311,40.90,77.65
13313,38.40,77.00
13315,47.25,81.10
13317,44.50,80.17
13319,45.40,80.90
13321,48.90,81.25
16001,26.55,67.85
16003,26.97,66.63
16005,21.05,66.85
16007,21.85,64.65
16009,27.88,64.70
16011,21.05,66.85
16013,23.17,66.97
16015,26.55,67.85
16017,25.15,62.65
16019,21.05,66.85
16021,26.10,64.15
16023,21.17,64.03
16025,24.60,66.45
16027,29.15,72.30
16029,21.80,65.70
16031,23.95,68.50
16033,20.68,64.22
16035,26.98,64.38
16037,22.28,65.78
16039,26.23,68.90
16041,21.80,65.70
16043,19.90,63.20
16045,26.55,67.85
16047,24.60,66.45
16049,27.14,64.34
16051,21.05,66.85
16053,25.60,71.00
16055,26.88,64.60
16057,28.56,65.48
16059,21.60,62.96
16061,30.40,66.95
16063,25.60,71.00
16065,21.05,66.85
16067,22.95,69.50
16069,30.07,66.57
16071,21.80,65.70
16073,28.26,71.00
16075,29.15,72.30
16077,21.05,66.85
16079,23.55,61.80
16081,21.80,65.70
16083,26.85,70.15
16085,26.55,67.85
16087,27.43,67.67
17001,26.60,76.15
17003,33.58,78.22
17005,30.00,77.10
17007,22.00,73.40
17009,26.55,75.95
17011,23.15,74.10
17013,28.15,76.60
17015,20.85,73.45
17017,26.00,75.57
17019,24.85,74.50
17021,26.50,75.60
17023,27.60,75.20
17025,28.50,76.20
17027,29.50,76.80
17029,28.50,76.20
17031,22.60,73.40
17033,29.60,76.40
17035,28.50,76.20
17037,22.00,73.40
17039,24.90,74.80
17041,26.65,75.20
17043,22.60,73.40
17045,26.65,75.20
17047,30.25,76.85
17049,28.50,76.20
17051,28.30,76.30
17053,24.85,74.50
17055,31.95,77.65
17057,24.95,75.15
17059,32.43,77.47
17061,28.10,76.40
17063,22.60,73.40
17065,32.00,77.50
17067,25.43,75.80
17069,33.30,77.90
17071,24.05,75.30
17073,21.40,73.40
17075,24.80,74.20
17077,32.10,77.43
17079,28.50,76.20
17081,30.80,77.17
17083,28.15,76.60
17085,19.12,72.50
17087,31.95,77.65
17089,22.60,73.40
17091,23.70,73.80
17093,22.60,73.40
17095,23.20,74.45
17097,22.60,73.40
17099,22.97,73.87
17101,29.60,76.40
17103,21.40,73.40
17105,24.10,74.13
17107,24.90,74.80
17109,25.00,75.50
17111,22.60,73.40
17113,24.85,74.50
17115,27.17,75.80
17117,28.10,76.40
17119,29.40,77.00
17121,30.80,77.17
17123,22.97,73.87
17125,24.95,75.15
17127,32.83,77.87
17129,26.50,75.60
17131,22.45,74.38
17133,30.83,77.20
17135,28.30,76.30
17137,26.55,75.95
17139,26.07,75.07
17141,21.40,73.40
17143,24.95,75.15
17145,31.95,77.65
17147,26.07,75.07
17149,27.10,76.23
17151,32.83,77.87
17153,33.25,78.05
17155,23.15,74.10
17157,32.15,77.40
17159,30.25,76.85
17161,20.85,73.45
17163,29.40,77.00
17165,32.00,77.50
17167,26.50,75.60
17169,25.00,75.50
17171,28.10,76.40
17173,27.17,75.80
17175,23.77,74.57
17177,21.40,73.40
17179,24.95,75.15
17181,32.10,77.43
17183,26.65,75.20
17185,30.40,76.77
17187,23.20,74.45
17189,31.90,77.80
17191,30.25,76.85
17193,31.35,77.05
17195,20.85,73.45
17197,22.60,73.40
17199,31.95,77.65
17201,22.00,73.40
17203,23.75,74.10
18001,25.43,73.10
