FIPS formula,County Name,State Abbr,Jan,July
48085,Collin,TX,45.1,83.3
48087,Collingsworth,TX,39.63,82.57
48089,Colorado,TX,52.8,83.4
48091,Comal,TX,49.85,82.9
48093,Comanche,TX,45.1,83.3
48095,Concho,TX,44.9,82.4
48097,Cooke,TX,42.95,82.9
48099,Coryell,TX,45.1,83.3
48101,Cottle,TX,42.5,82.7
48103,Crane,TX,46.5,81.25
48105,Crockett,TX,46.5,81.25
48107,Crosby,TX,40.7,80.95
48109,Culberson,TX,42.53,78.77
48111,Dallam,TX,38.9,79.2
48113,Dallas,TX,45.1,83.3
48115,Dawson,TX,40.7,80.95
48117,Deaf Smith,TX,38.9,79.2
48119,Delta,TX,46.3,82.95
48121,Denton,TX,45.1,83.3
48123,DeWitt,TX,52.4,83.7
48125,Dickens,TX,40.7,80.95
48127,Dimmit,TX,55.4,85.4
48129,Donley,TX,40.7,80.95
48131,Duval,TX,55.4,85.4
48133,Eastland,TX,45.1,83.3
48135,Ector,TX,45.7,80.4
48137,Edwards,TX,47.3,82.1
48139,Ellis,TX,46.3,82.95
48141,El Paso,TX,43.7,79.3
48143,Erath,TX,45.1,83.3
48145,Falls,TX,45.1,83.3
48147,Fannin,TX,42.95,82.9
48149,Fayette,TX,52.4,83.7
48151,Fisher,TX,42.5,82.7
48153,Floyd,TX,38.9,79.2
48155,Foard,TX,42.5,82.7
48157,Fort Bend,TX,51.03,83.13
48159,Franklin,TX,47.5,82.6
48161,Freestone,TX,46.3,82.95
48163,Frio,TX,53.9,84.55
48165,Gaines,TX,38.9,79.2
48167,Galveston,TX,53.2,83.1
48169,Garza,TX,40.7,80.95
48171,Gillespie,TX,47.3,82.1
48173,Glasscock,TX,38.9,79.2
48175,Goliad,TX,52.8,83.4
48177,Gonzales,TX,52.4,83.7
48179,Gray,TX,40.7,80.95
48181,Grayson,TX,42.95,82.9
48183,Gregg,TX,47.5,82.6
48185,Grimes,TX,49.95,83.15
48187,Guadalupe,TX,52.4,83.7
48189,Hale,TX,38.9,79.2
48191,Hall,TX,40.7,80.95
48193,Hamilton,TX,45.1,83.3
48195,Hansford,TX,38.9,79.2
48197,Hardeman,TX,40.95,82.95
48199,Hardin,TX,50.35,82.85
48201,Harris,TX,50.35,82.85
48203,Harrison,TX,46.75,82.4
48205,Hartley,TX,38.9,79.2
48207,Haskell,TX,43.8,83
48209,Hays,TX,49.85,82.9
48211,Hemphill,TX,38.33,80.75
48213,Henderson,TX,46.3,82.95
48215,Hidalgo,TX,57.65,85.4
48217,Hill,TX,45.1,83.3
48219,Hockley,TX,38.9,79.2
48221,Hood,TX,45.1,83.3
48223,Hopkins,TX,46.3,82.95
48225,Houston,TX,47.5,82.6
48227,Howard,TX,40.7,80.95
48229,Hudspeth,TX,43.7,79.3
48231,Hunt,TX,46.3,82.95
48233,Hutchinson,TX,38.9,79.2
48235,Irion,TX,47.3,82.1
48237,Jack,TX,45.1,83.3
48239,Jackson,TX,52.8,83.4
48241,Jasper,TX,47.5,82.6
48243,Jeff Davis,TX,45.7,80.4
48245,Jefferson,TX,50.35,82.85
48247,Jim Hogg,TX,55.4,85.4
48249,Jim Wells,TX,55.4,85.4
48251,Johnson,TX,45.1,83.3
48253,Jones,TX,43.8,83
48255,Karnes,TX,53.9,84.55
48257,Kaufman,TX,46.3,82.95
48259,Kendall,TX,49.85,82.9
48261,Kenedy,TX,55.9,84.83
48263,Kent,TX,42.5,82.7
48265,Kerr,TX,47.3,82.1
48267,Kimble,TX,47.3,82.1
48269,King,TX,42.5,82.7
48271,Kinney,TX,51.35,83.75
48273,Kleberg,TX,53.9,84.55
48275,Knox,TX,42.5,82.7
48277,Lamar,TX,43.45,82.2
48279,Lamb,TX,38.9,79.2
48281,Lampasas,TX,46.2,82.7
48283,La Salle,TX,55.4,85.4
48285,Lavaca,TX,52.8,83.4
48287,Lee,TX,48.75,83.5
48289,Leon,TX,46.3,82.95
48291,Liberty,TX,50.35,82.85
48293,Limestone,TX,46.3,82.95
48295,Lipscomb,TX,36.9,79.25
48297,Live Oak,TX,53.9,84.55
48299,Llano,TX,47.3,82.1
48301,Loving,TX,42.95,79.05
48303,Lubbock,TX,38.9,79.2
48305,Lynn,TX,40.7,80.95
48307,McCulloch,TX,44.97,82.7
48309,McLennan,TX,45.1,83.3
48311,McMullen,TX,55.4,85.4
48313,Madison,TX,47.5,82.6
48315,Marion,TX,46.75,82.4
48317,Martin,TX,38.9,79.2
48319,Mason,TX,47.3,82.1
48321,Matagorda,TX,53.2,83.1
48323,Maverick,TX,51.35,83.75
48325,Medina,TX,49.85,82.9
48327,Menard,TX,47.3,82.1
48329,Midland,TX,42.3,79.8
48331,Milam,TX,46.3,82.95
48333,Mills,TX,46.2,82.7
48335,Mitchell,TX,42.9,81.33
48337,Montague,TX,42.95,82.9
48339,Montgomery,TX,50.35,82.85
48341,Moore,TX,38.9,79.2
48343,Morris,TX,47.5,82.6
48345,Motley,TX,40.7,80.95
48347,Nacogdoches,TX,47.5,82.6
48349,Navarro,TX,46.3,82.95
48351,Newton,TX,49.92,82.47
48353,Nolan,TX,42.5,82.7
48355,Nueces,TX,53.9,84.55
48357,Ochiltree,TX,38.9,79.2
48359,Oldham,TX,38.9,79.2
48361,Orange,TX,50.63,82.67
48363,Palo Pinto,TX,45.1,83.3
48365,Panola,TX,46.75,82.4
48367,Parker,TX,45.1,83.3
48369,Parmer,TX,38.9,79.2
48371,Pecos,TX,46.5,81.25
48373,Polk,TX,50.35,82.85
48375,Potter,TX,38.9,79.2
48377,Presidio,TX,45.7,80.4
48379,Rains,TX,46.3,82.95
48381,Randall,TX,38.9,79.2
48383,Reagan,TX,43.1,80.65
48385,Real,TX,47.3,82.1
48387,Red River,TX,43.95,81.5
48389,Reeves,TX,42.95,79.05
48391,Refugio,TX,52.8,83.4
48393,Roberts,TX,38.9,79.2
48395,Robertson,TX,46.3,82.95
48397,Rockwall,TX,45.1,83.3
48399,Runnels,TX,44.9,82.4
48401,Rusk,TX,47.5,82.6
48403,Sabine,TX,47.65,82.25
48405,San Augustine,TX,47.5,82.6
48407,San Jacinto,TX,50.35,82.85
48409,San Patricio,TX,53.9,84.55
48411,San Saba,TX,46.2,82.7
48413,Schleicher,TX,47.3,82.1
48415,Scurry,TX,40.7,80.95
48417,Shackelford,TX,43.8,83
48419,Shelby,TX,47.1,82.23
48421,Sherman,TX,38.9,79.2
48423,Smith,TX,47.5,82.6
48425,Somervell,TX,45.1,83.3
48427,Starr,TX,55.4,85.4
48429,Stephens,TX,45.1,83.3
48431,Sterling,TX,42.9,81.33
48433,Stonewall,TX,42.5,82.7
48435,Sutton,TX,47.3,82.1
48437,Swisher,TX,38.9,79.2
48439,Tarrant,TX,45.1,83.3
48441,Taylor,TX,43.8,83
48443,Terrell,TX,46.5,81.25
48445,Terry,TX,38.9,79.2
48447,Throckmorton,TX,43.8,83
48449,Titus,TX,47.5,82.6
48451,Tom Green,TX,44.9,82.4
48453,Travis,TX,48.27,83.03
48455,Trinity,TX,47.5,82.6
48457,Tyler,TX,47.5,82.6
48459,Upshur,TX,47.5,82.6
48461,Upton,TX,43.97,80.57
48463,Uvalde,TX,49.85,82.9
48465,Val Verde,TX,46.5,81.25
48467,Van Zandt,TX,46.3,82.95
48469,Victoria,TX,52.8,83.4
48471,Walker,TX,47.5,82.6
48473,Waller,TX,51.03,83.13
48475,Ward,TX,45.7,80.4
48477,Washington,TX,49.95,83.15
48479,Webb,TX,55.4,85.4
48481,Wharton,TX,52.8,83.4
48483,Wheeler,TX,39.47,81.23
48485,Wichita,TX,42.33,83.07
48487,Wilbarger,TX,40.95,82.95
48489,Willacy,TX,57.65,85.4
48491,Williamson,TX,48.27,83.03
48493,Wilson,TX,53.9,84.55
48495,Winkler,TX,42.95,79.05
48497,Wise,TX,45.1,83.3
48499,Wood,TX,47.5,82.6
48501,Yoakum,TX,38.9,79.2
48503,Young,TX,45.1,83.3
48505,Zapata,TX,55.4,85.4
48507,Zavala,TX,51.7,83.73
49001,Beaver,UT,27.95,72.3
49003,Box Elder,UT,24.6,69.48
