geo_name,geo_sumlevel,geo_id,median_property_value_2013,median_property_value_2014,median_property_value_2015,median_property_value_2016
"Hale County, TX","county",05000US48189,70800,71100,73400,77700
"Hall County, TX","county",05000US48191,42700,42000,36500,47800
"Hamilton County, TX","county",05000US48193,91500,95200,96600,102300
"Hansford County, TX","county",05000US48195,72900,76800,81300,89400
"Hardeman County, TX","county",05000US48197,46800,42600,45600,38400
"Hardin County, TX","county",05000US48199,100400,99000,101000,105100
"Harris County, TX","county",05000US48201,131400,133400,137800,145600
"Harrison County, TX","county",05000US48203,108700,110900,112700,110100
"Hartley County, TX","county",05000US48205,143700,143100,147300,148200
"Haskell County, TX","county",05000US48207,45200,47900,48200,49200
"Hays County, TX","county",05000US48209,175600,175700,180900,195800
"Hemphill County, TX","county",05000US48211,97800,110800,123400,127600
"Henderson County, TX","county",05000US48213,87800,88100,91500,94100
"Hidalgo County, TX","county",05000US48215,78100,78900,79200,81400
"Hill County, TX","county",05000US48217,83400,84600,85000,89100
"Hockley County, TX","county",05000US48219,79300,79300,81600,80800
"Hood County, TX","county",05000US48221,150900,150600,153000,162600
"Hopkins County, TX","county",05000US48223,94000,93300,92800,96300
"Houston County, TX","county",05000US48225,74300,74900,76500,77400
"Howard County, TX","county",05000US48227,65900,70400,73800,81800
"Hudspeth County, TX","county",05000US48229,41400,41900,42600,44300
"Hunt County, TX","county",05000US48231,93500,92000,94400,96400
"Hutchinson County, TX","county",05000US48233,63300,68200,73500,72800
"Irion County, TX","county",05000US48235,76100,104400,104700,153000
"Jack County, TX","county",05000US48237,76700,79000,76700,77700
"Jackson County, TX","county",05000US48239,84400,84700,87600,89900
"Jasper County, TX","county",05000US48241,82200,87400,86500,89300
"Jeff Davis County, TX","county",05000US48243,104300,106900,93300,112100
"Jefferson County, TX","county",05000US48245,96200,96400,97900,99500
"Jim Hogg County, TX","county",05000US48247,50700,71300,68500,65500
"Jim Wells County, TX","county",05000US48249,69000,67400,70100,73300
"Johnson County, TX","county",05000US48251,113900,114100,119200,124500
"Jones County, TX","county",05000US48253,61500,65200,69000,73200
"Karnes County, TX","county",05000US48255,75000,77900,87200,90000
"Kaufman County, TX","county",05000US48257,129500,131500,134700,141500
"Kendall County, TX","county",05000US48259,274400,286400,281200,285900
"Kenedy County, TX","county",05000US48261,56200,166700,,
"Kent County, TX","county",05000US48263,64300,66100,72300,72900
"Kerr County, TX","county",05000US48265,150700,153100,158200,162600
"Kimble County, TX","county",05000US48267,85100,84500,85400,114900
"King County, TX","county",05000US48269,91000,71700,73000,72200
"Kinney County, TX","county",05000US48271,65800,68400,72200,72700
"Kleberg County, TX","county",05000US48273,74500,77100,80800,86600
"Knox County, TX","county",05000US48275,40900,42200,42900,43300
"Lamar County, TX","county",05000US48277,85300,84100,85900,86300
"Lamb County, TX","county",05000US48279,56900,58700,62000,65700
"Lampasas County, TX","county",05000US48281,129100,128400,133300,138700
"La Salle County, TX","county",05000US48283,48200,69200,70100,63500
"Lavaca County, TX","county",05000US48285,92800,99100,119300,131000
"Lee County, TX","county",05000US48287,118400,115900,115800,127000
"Leon County, TX","county",05000US48289,90300,89600,102800,99600
"Liberty County, TX","county",05000US48291,84400,84900,87900,89100
"Limestone County, TX","county",05000US48293,83200,83800,83500,83200
"Lipscomb County, TX","county",05000US48295,89400,87800,93000,95300
"Live Oak County, TX","county",05000US48297,85500,87700,86900,84900
"Llano County, TX","county",05000US48299,159000,160000,160600,169200
"Loving County, TX","county",05000US48301,86000,85000,92500,
"Lubbock County, TX","county",05000US48303,108700,109900,112600,117100
"Lynn County, TX","county",05000US48305,70200,72200,69900,70600
"McCulloch County, TX","county",05000US48307,69300,71800,67500,75800
"McLennan County, TX","county",05000US48309,108300,112100,114700,118200
"McMullen County, TX","county",05000US48311,63200,64100,69300,78100
"Madison County, TX","county",05000US48313,94200,87700,103100,103900
"Marion County, TX","county",05000US48315,72900,78300,85500,89600
"Martin County, TX","county",05000US48317,72200,90500,99400,108900
"Mason County, TX","county",05000US48319,170100,165500,154800,136600
"Matagorda County, TX","county",05000US48321,92000,91300,93700,98700
"Maverick County, TX","county",05000US48323,86300,85900,88700,93100
"Medina County, TX","county",05000US48325,112900,115500,125100,126000
"Menard County, TX","county",05000US48327,56400,58400,56200,56300
"Midland County, TX","county",05000US48329,148600,157300,166700,175700
"Milam County, TX","county",05000US48331,78400,79600,80600,82400
"Mills County, TX","county",05000US48333,104100,100000,120100,123100
"Mitchell County, TX","county",05000US48335,45800,45800,48500,60800
"Montague County, TX","county",05000US48337,86000,91800,96000,93000
"Montgomery County, TX","county",05000US48339,166200,169800,176900,190000
"Moore County, TX","county",05000US48341,85600,87600,93000,98200
"Morris County, TX","county",05000US48343,69900,66000,69300,77000
"Motley County, TX","county",05000US48345,59800,55400,53100,55200
"Nacogdoches County, TX","county",05000US48347,101700,108900,110400,114300
"Navarro County, TX","county",05000US48349,79500,79600,81300,83800
"Newton County, TX","county",05000US48351,77500,73800,74900,72300
"Nolan County, TX","county",05000US48353,52200,54700,57200,65400
"Nueces County, TX","county",05000US48355,110300,111100,113200,116600
"Ochiltree County, TX","county",05000US48357,80100,77600,84200,91800
"Oldham County, TX","county",05000US48359,83700,87300,87100,81100
"Orange County, TX","county",05000US48361,91900,94000,97800,101500
"Palo Pinto County, TX","county",05000US48363,85200,80200,82800,87000
"Panola County, TX","county",05000US48365,83900,89300,91800,92900
"Parker County, TX","county",05000US48367,152900,157900,161800,170100
"Parmer County, TX","county",05000US48369,86400,83800,86400,83600
"Pecos County, TX","county",05000US48371,64300,68600,68800,69800
"Polk County, TX","county",05000US48373,78600,78300,81500,84600
"Potter County, TX","county",05000US48375,85900,86100,88200,88700
"Presidio County, TX","county",05000US48377,48500,44900,59400,61600
"Rains County, TX","county",05000US48379,96300,98500,98400,95500
"Randall County, TX","county",05000US48381,141900,144400,149000,151800
"Reagan County, TX","county",05000US48383,66200,70300,82900,85000
"Real County, TX","county",05000US48385,102200,113500,109800,110600
"Red River County, TX","county",05000US48387,69200,69100,69200,62700
"Reeves County, TX","county",05000US48389,40100,40600,44600,44400
"Refugio County, TX","county",05000US48391,66300,66500,74500,77100
"Roberts County, TX","county",05000US48393,104600,104700,109300,119500
"Robertson County, TX","county",05000US48395,77400,79800,92600,99900
"Rockwall County, TX","county",05000US48397,187800,187600,193300,206700
"Runnels County, TX","county",05000US48399,59100,65400,70000,75600
"Rusk County, TX","county",05000US48401,93000,96700,101400,107800
"Sabine County, TX","county",05000US48403,69300,80700,84500,80700
"San Augustine County, TX","county",05000US48405,68100,69300,79000,80200
"San Jacinto County, TX","county",05000US48407,88200,87800,87800,88000
"San Patricio County, TX","county",05000US48409,89800,90600,95000,97800
"San Saba County, TX","county",05000US48411,71300,69400,72700,80500
"Schleicher County, TX","county",05000US48413,86400,83500,79200,72300
"Scurry County, TX","county",05000US48415,87200,88800,89100,89400
"Shackelford County, TX","county",05000US48417,66200,72300,79000,76400
"Shelby County, TX","county",05000US48419,72000,68300,75100,74900
"Sherman County, TX","county",05000US48421,81900,77400,79700,82900
"Smith County, TX","county",05000US48423,120800,126400,130600,137600
"Somervell County, TX","county",05000US48425,139900,141300,139800,158900
"Starr County, TX","county",05000US48427,62900,65400,65100,66600
"Stephens County, TX","county",05000US48429,72400,76700,83900,77500
"Sterling County, TX","county",05000US48431,71900,74400,86300,95100
"Stonewall County, TX","county",05000US48433,49900,54200,49700,53900
"Sutton County, TX","county",05000US48435,80700,79300,88200,92100
"Swisher County, TX","county",05000US48437,62600,68200,67200,71900
"Tarrant County, TX","county",05000US48439,136400,137700,141000,148100
"Taylor County, TX","county",05000US48441,95800,99100,101500,107600
"Terrell County, TX","county",05000US48443,57000,54300,64200,64600
"Terry County, TX","county",05000US48445,64900,65000,64200,65900
"Throckmorton County, TX","county",05000US48447,57500,64400,64400,64100
"Titus County, TX","county",05000US48449,91600,88900,97500,97200
"Tom Green County, TX","county",05000US48451,99000,102300,108600,116500
"Travis County, TX","county",05000US48453,219200,224600,237100,253600
"Trinity County, TX","county",05000US48455,80100,80600,81000,78000
"Tyler County, TX","county",05000US48457,75100,77800,81600,81800
"Upshur County, TX","county",05000US48459,89400,89900,93700,96500
"Upton County, TX","county",05000US48461,48500,55000,57600,61300
"Uvalde County, TX","county",05000US48463,68600,72000,77000,78200
"Val Verde County, TX","county",05000US48465,91900,92700,92400,93900
"Van Zandt County, TX","county",05000US48467,96900,100800,103400,105900
"Victoria County, TX","county",05000US48469,110200,116100,119300,124100
"Walker County, TX","county",05000US48471,109900,117600,116100,123600
"Waller County, TX","county",05000US48473,133400,134400,144200,153800
"Ward County, TX","county",05000US48475,57300,68700,72200,82000
"Washington County, TX","county",05000US48477,147800,141700,152800,156000
"Webb County, TX","county",05000US48479,108800,107400,109500,110500
"Wharton County, TX","county",05000US48481,95600,96900,102300,107000
"Wheeler County, TX","county",05000US48483,76600,79100,84000,86300
"Wichita County, TX","county",05000US48485,89800,89200,89700,91700
"Wilbarger County, TX","county",05000US48487,62000,67100,69200,71000
"Willacy County, TX","county",05000US48489,48800,51700,49700,49400
"Williamson County, TX","county",05000US48491,178900,185700,196500,209400
"Wilson County, TX","county",05000US48493,143500,151600,159700,162300
"Winkler County, TX","county",05000US48495,45100,45200,45200,49700
"Wise County, TX","county",05000US48497,121900,122400,126900,132700
"Wood County, TX","county",05000US48499,99900,105900,111100,113800
"Yoakum County, TX","county",05000US48501,71100,71300,74600,81000
"Young County, TX","county",05000US48503,84300,82800,82000,86300
"Zapata County, TX","county",05000US48505,55700,54000,55200,60100
"Zavala County, TX","county",05000US48507,39900,42400,41900,39800
"Beaver County, UT","county",05000US49001,144800,144200,150000,146900
"Box Elder County, UT","county",05000US49003,166100,166200,167500,169200
"Cache County, UT","county",05000US49005,189100,189300,191900,197700
"Carbon County, UT","county",05000US49007,122700,123000,123900,126800
"Daggett County, UT","county",05000US49009,162500,202500,174700,206700
"Davis County, UT","county",05000US49011,222600,222600,225800,234300
"Duchesne County, UT","county",05000US49013,168000,172300,172600,174900
"Emery County, UT","county",05000US49015,122500,125600,132700,135100
"Garfield County, UT","county",05000US49017,154300,156600,156600,159100
"Grand County, UT","county",05000US49019,218800,220500,224800,223900
"Iron County, UT","county",05000US49021,168300,165400,165900,172100
"Juab County, UT","county",05000US49023,162600,164000,165200,169900
"Kane County, UT","county",05000US49025,162300,168200,175300,187300
"Millard County, UT","county",05000US49027,132800,130300,138400,142700
"Morgan County, UT","county",05000US49029,264400,265400,266400,283400
"Piute County, UT","county",05000US49031,152800,142800,140800,136300
"Rich County, UT","county",05000US49033,156600,163400,173500,169800
"Salt Lake County, UT","county",05000US49035,232100,231200,234700,243700
"San Juan County, UT","county",05000US49037,127400,137100,139400,137600
"Sanpete County, UT","county",05000US49039,164100,165000,164400,164700
"Sevier County, UT","county",05000US49041,151400,148300,149400,149200
"Summit County, UT","county",05000US49043,485700,496800,497300,515500
"Tooele County, UT","county",05000US49045,177500,175300,177700,182300
"Uintah County, UT","county",05000US49047,187900,187400,189400,190900
"Utah County, UT","county",05000US49049,222100,222300,228400,239300
"Wasatch County, UT","county",05000US49051,307600,304300,316800,336100
"Washington County, UT","county",05000US49053,212900,209500,212600,221700
"Wayne County, UT","county",05000US49055,173500,180300,198600,195900
"Weber County, UT","county",05000US49057,170000,169200,168000,171200
"Addison County, VT","county",05000US50001,234500,235200,237300,236400
"Bennington County, VT","county",05000US50003,214800,210600,211300,207300
"Caledonia County, VT","county",05000US50005,164300,161800,162400,164200
"Chittenden County, VT","county",05000US50007,267500,269500,271300,275000
"Essex County, VT","county",05000US50009,122200,120300,122800,123800
"Franklin County, VT","county",05000US50011,204400,203100,203000,206500
"Grand Isle County, VT","county",05000US50013,254300,259500,261300,259600
"Lamoille County, VT","county",05000US50015,218800,216800,220700,220300
"Orange County, VT","county",05000US50017,183900,186400,189400,191700
"Orleans County, VT","county",05000US50019,156300,155600,154100,156800
"Rutland County, VT","county",05000US50021,176800,176900,178500,179200
"Washington County, VT","county",05000US50023,205000,207100,211200,213200
"Windham County, VT","county",05000US50025,206800,210700,209200,209500
