geo_name,geo_sumlevel,geo_id,median_property_value_2013,median_property_value_2014,median_property_value_2015,median_property_value_2016
"Randolph County, IN","county",05000US18135,76200,77300,78200,79000
"Ripley County, IN","county",05000US18137,132000,132000,129800,138300
"Rush County, IN","county",05000US18139,104700,102800,100700,100300
"St. Joseph County, IN","county",05000US18141,115100,113400,114800,116800
"Scott County, IN","county",05000US18143,101400,98900,98700,98400
"Shelby County, IN","county",05000US18145,125000,122600,120800,124800
"Spencer County, IN","county",05000US18147,113300,112700,116100,118300
"Starke County, IN","county",05000US18149,96900,96400,96900,99100
"Steuben County, IN","county",05000US18151,123000,124300,128800,130000
"Sullivan County, IN","county",05000US18153,77600,78000,78200,77900
"Switzerland County, IN","county",05000US18155,110800,116200,119100,114200
"Tippecanoe County, IN","county",05000US18157,130900,132100,135200,139500
"Tipton County, IN","county",05000US18159,108300,107900,111500,110600
"Union County, IN","county",05000US18161,103200,105700,102500,106100
"Vanderburgh County, IN","county",05000US18163,112900,114700,115500,118100
"Vermillion County, IN","county",05000US18165,75100,75300,75000,76200
"Vigo County, IN","county",05000US18167,91600,91200,91200,91900
"Wabash County, IN","county",05000US18169,95000,95100,95100,96200
"Warren County, IN","county",05000US18171,99500,106200,107200,110700
"Warrick County, IN","county",05000US18173,146300,144400,148400,153000
"Washington County, IN","county",05000US18175,101500,101100,102900,104600
"Wayne County, IN","county",05000US18177,94100,92200,92200,94300
"Wells County, IN","county",05000US18179,112500,114000,115200,118800
"White County, IN","county",05000US18181,109800,106400,105500,106600
"Whitley County, IN","county",05000US18183,126300,129600,130400,129800
"Adair County, IA","county",05000US19001,90900,88900,89600,95000
"Adams County, IA","county",05000US19003,85200,86600,87800,88900
"Allamakee County, IA","county",05000US19005,114400,111100,110900,116200
"Appanoose County, IA","county",05000US19007,77600,77600,78200,79300
"Audubon County, IA","county",05000US19009,71100,69800,65000,66300
"Benton County, IA","county",05000US19011,131500,137100,140600,143000
"Black Hawk County, IA","county",05000US19013,123600,125700,130200,133800
"Boone County, IA","county",05000US19015,117300,119800,119600,122900
"Bremer County, IA","county",05000US19017,145300,146000,151600,153200
"Buchanan County, IA","county",05000US19019,122200,123600,126600,129900
"Buena Vista County, IA","county",05000US19021,97700,100300,103900,106200
"Butler County, IA","county",05000US19023,100400,104000,107400,110500
"Calhoun County, IA","county",05000US19025,72200,74600,76100,76900
"Carroll County, IA","county",05000US19027,105700,110100,113200,121800
"Cass County, IA","county",05000US19029,88100,88900,89500,91600
"Cedar County, IA","county",05000US19031,132800,134200,134700,138600
"Cerro Gordo County, IA","county",05000US19033,110800,112400,115200,115900
"Cherokee County, IA","county",05000US19035,80200,81500,84200,86300
"Chickasaw County, IA","county",05000US19037,95900,99000,103400,103700
"Clarke County, IA","county",05000US19039,84900,86500,91200,94900
"Clay County, IA","county",05000US19041,105400,106400,110500,111600
"Clayton County, IA","county",05000US19043,102400,104900,106700,111500
"Clinton County, IA","county",05000US19045,110300,110100,110100,110900
"Crawford County, IA","county",05000US19047,83100,87300,90200,88800
"Dallas County, IA","county",05000US19049,184100,184400,190700,204700
"Davis County, IA","county",05000US19051,99700,98700,99900,104500
"Decatur County, IA","county",05000US19053,77700,81700,81500,79200
"Delaware County, IA","county",05000US19055,125300,123000,123300,123200
"Des Moines County, IA","county",05000US19057,93900,94300,98200,98000
"Dickinson County, IA","county",05000US19059,159700,165800,167800,170500
"Dubuque County, IA","county",05000US19061,145900,146500,149400,153000
"Emmet County, IA","county",05000US19063,82200,82400,84100,84700
"Fayette County, IA","county",05000US19065,85400,85000,88200,89600
"Floyd County, IA","county",05000US19067,90200,96700,98200,104600
"Franklin County, IA","county",05000US19069,87500,86000,85900,86400
"Fremont County, IA","county",05000US19071,94100,96300,100100,99300
"Greene County, IA","county",05000US19073,78200,82600,85300,86400
"Grundy County, IA","county",05000US19075,123700,127800,125700,127100
"Guthrie County, IA","county",05000US19077,97100,98500,103700,104600
"Hamilton County, IA","county",05000US19079,91400,90800,93600,95900
"Hancock County, IA","county",05000US19081,85300,90100,91600,95500
"Hardin County, IA","county",05000US19083,89900,89800,88700,90400
"Harrison County, IA","county",05000US19085,108200,107700,106400,107800
"Henry County, IA","county",05000US19087,103700,103900,103900,106100
"Howard County, IA","county",05000US19089,91800,95500,94600,98300
"Humboldt County, IA","county",05000US19091,84900,85900,89800,90200
"Ida County, IA","county",05000US19093,76400,78800,80300,88100
"Iowa County, IA","county",05000US19095,138000,138300,138700,139500
"Jackson County, IA","county",05000US19097,110000,110500,114300,116400
"Jasper County, IA","county",05000US19099,113100,116200,117700,118600
"Jefferson County, IA","county",05000US19101,92400,94600,101000,110700
"Johnson County, IA","county",05000US19103,186000,191900,193600,202400
"Jones County, IA","county",05000US19105,122100,127300,129300,130300
"Keokuk County, IA","county",05000US19107,75700,76900,77100,79500
"Kossuth County, IA","county",05000US19109,91100,93700,92300,95800
"Lee County, IA","county",05000US19111,83100,85000,85400,88100
"Linn County, IA","county",05000US19113,144300,145700,147400,148600
"Louisa County, IA","county",05000US19115,95400,99000,99900,102400
"Lucas County, IA","county",05000US19117,82700,80700,82400,84700
"Lyon County, IA","county",05000US19119,105700,109000,111100,118900
"Madison County, IA","county",05000US19121,160700,156600,160200,163000
"Mahaska County, IA","county",05000US19123,100900,103800,106200,109100
"Marion County, IA","county",05000US19125,132000,135800,137300,144800
"Marshall County, IA","county",05000US19127,105400,104200,104500,104600
"Mills County, IA","county",05000US19129,149400,151700,153100,154200
"Mitchell County, IA","county",05000US19131,108100,105300,108700,110500
"Monona County, IA","county",05000US19133,77800,78900,79400,80100
"Monroe County, IA","county",05000US19135,95200,96800,96300,93400
"Montgomery County, IA","county",05000US19137,79600,78100,78700,80700
"Muscatine County, IA","county",05000US19139,124400,126700,126900,126600
"O'Brien County, IA","county",05000US19141,93000,101100,102700,107800
"Osceola County, IA","county",05000US19143,75600,80900,83600,85900
"Page County, IA","county",05000US19145,77700,80700,82500,85800
"Palo Alto County, IA","county",05000US19147,83400,84900,85300,86600
"Plymouth County, IA","county",05000US19149,129800,133500,138300,143000
"Pocahontas County, IA","county",05000US19151,60600,62500,64700,70800
"Polk County, IA","county",05000US19153,154400,155400,157200,161100
"Pottawattamie County, IA","county",05000US19155,126300,124500,125800,128500
"Poweshiek County, IA","county",05000US19157,117600,125700,128700,128100
"Ringgold County, IA","county",05000US19159,78500,76800,77600,75700
"Sac County, IA","county",05000US19161,79700,81200,81200,83200
"Scott County, IA","county",05000US19163,143600,144900,148200,150900
"Shelby County, IA","county",05000US19165,104700,106500,108800,107900
"Sioux County, IA","county",05000US19167,131200,137500,140900,147700
"Story County, IA","county",05000US19169,162200,164200,166000,167800
"Tama County, IA","county",05000US19171,101300,101400,103000,103300
"Taylor County, IA","county",05000US19173,66400,66200,70400,74800
"Union County, IA","county",05000US19175,91600,90700,87200,88100
"Van Buren County, IA","county",05000US19177,69700,75000,76300,80400
"Wapello County, IA","county",05000US19179,78800,76900,80400,81400
"Warren County, IA","county",05000US19181,154100,159300,159900,165200
"Washington County, IA","county",05000US19183,121800,121900,122100,127500
"Wayne County, IA","county",05000US19185,62300,66400,70600,73200
"Webster County, IA","county",05000US19187,84300,84600,85900,90000
"Winnebago County, IA","county",05000US19189,91900,94200,94100,93300
"Winneshiek County, IA","county",05000US19191,151500,155300,157800,159400
"Woodbury County, IA","county",05000US19193,97900,98300,99600,104300
"Worth County, IA","county",05000US19195,96900,98600,96400,95100
"Wright County, IA","county",05000US19197,71700,72800,73400,76700
"Allen County, KS","county",05000US20001,63300,61700,68200,73700
"Anderson County, KS","county",05000US20003,96300,93300,90400,91200
"Atchison County, KS","county",05000US20005,87000,85800,88100,100300
"Barber County, KS","county",05000US20007,61900,66000,78100,77400
"Barton County, KS","county",05000US20009,75300,79800,81200,83700
"Bourbon County, KS","county",05000US20011,78400,80100,81400,82300
"Brown County, KS","county",05000US20013,77100,81600,84600,86000
"Butler County, KS","county",05000US20015,127800,130800,134500,137800
"Chase County, KS","county",05000US20017,81100,78200,76600,83200
"Chautauqua County, KS","county",05000US20019,46500,50700,48500,53900
"Cherokee County, KS","county",05000US20021,71600,70600,72500,74800
"Cheyenne County, KS","county",05000US20023,76700,83000,82800,84500
"Clark County, KS","county",05000US20025,59800,63500,62200,67300
"Clay County, KS","county",05000US20027,85700,93100,96500,99400
"Cloud County, KS","county",05000US20029,66100,69700,69000,72500
"Coffey County, KS","county",05000US20031,98200,100000,102000,107300
"Comanche County, KS","county",05000US20033,54100,64100,61800,65900
"Cowley County, KS","county",05000US20035,80600,79900,83200,83000
"Crawford County, KS","county",05000US20037,83800,85000,85900,85100
"Decatur County, KS","county",05000US20039,53500,51300,55900,61400
"Dickinson County, KS","county",05000US20041,106700,107100,108200,110300
"Doniphan County, KS","county",05000US20043,83300,84100,86900,92000
"Douglas County, KS","county",05000US20045,180300,181300,179800,181900
"Edwards County, KS","county",05000US20047,56500,56500,56400,58000
"Elk County, KS","county",05000US20049,52100,50700,49200,48800
"Ellis County, KS","county",05000US20051,138400,143200,150200,155900
"Ellsworth County, KS","county",05000US20053,73300,78200,81400,85700
"Finney County, KS","county",05000US20055,109700,112000,117000,122700
"Ford County, KS","county",05000US20057,88800,92200,99500,103600
"Franklin County, KS","county",05000US20059,119700,120000,122900,118200
"Geary County, KS","county",05000US20061,136500,136900,136000,136100
"Gove County, KS","county",05000US20063,71500,74700,76300,77800
"Graham County, KS","county",05000US20065,63800,66000,68600,72000
"Grant County, KS","county",05000US20067,90900,95100,99400,101000
"Gray County, KS","county",05000US20069,105900,99800,107900,115300
"Greeley County, KS","county",05000US20071,78500,83000,84500,89100
"Greenwood County, KS","county",05000US20073,56800,57100,57200,59300
"Hamilton County, KS","county",05000US20075,75100,82900,86600,88100
"Harper County, KS","county",05000US20077,66100,66800,66900,66200
"Harvey County, KS","county",05000US20079,111600,112000,115800,120600
"Haskell County, KS","county",05000US20081,103300,110400,116000,114800
"Hodgeman County, KS","county",05000US20083,76500,77600,82900,85900
"Jackson County, KS","county",05000US20085,118200,118900,119400,121000
"Jefferson County, KS","county",05000US20087,125800,126500,127100,130100
"Jewell County, KS","county",05000US20089,56500,53600,53100,53200
"Johnson County, KS","county",05000US20091,210900,212300,215600,222400
"Kearny County, KS","county",05000US20093,91700,93600,94100,91000
"Kingman County, KS","county",05000US20095,86700,88000,88000,90200
"Kiowa County, KS","county",05000US20097,102800,107700,121300,118400
"Labette County, KS","county",05000US20099,66100,67700,70200,75300
"Lane County, KS","county",05000US20101,58200,62600,66200,74700
"Leavenworth County, KS","county",05000US20103,165800,165500,167500,168900
"Lincoln County, KS","county",05000US20105,63500,63400,66900,69300
"Linn County, KS","county",05000US20107,98000,90700,90300,90500
"Logan County, KS","county",05000US20109,72700,78100,79200,80500
"Lyon County, KS","county",05000US20111,93100,92500,93400,94500
"McPherson County, KS","county",05000US20113,124600,127600,132900,138800
"Marion County, KS","county",05000US20115,83000,83200,81600,82600
"Marshall County, KS","county",05000US20117,81700,83300,86700,92000
"Meade County, KS","county",05000US20119,85500,86400,86500,91100
"Miami County, KS","county",05000US20121,162500,167100,167400,173400
"Mitchell County, KS","county",05000US20123,74600,75800,89000,90000
"Montgomery County, KS","county",05000US20125,71200,72400,70600,71600
"Morris County, KS","county",05000US20127,81900,83100,85200,89500
"Morton County, KS","county",05000US20129,82100,87200,99400,105600
"Nemaha County, KS","county",05000US20131,95200,101300,109900,110400
"Neosho County, KS","county",05000US20133,68900,70300,69800,74500
"Ness County, KS","county",05000US20135,57200,64200,67100,68800
"Norton County, KS","county",05000US20137,66000,66700,72900,69700
"Osage County, KS","county",05000US20139,99000,99100,98300,101800
"Osborne County, KS","county",05000US20141,51200,54300,57400,60100
"Ottawa County, KS","county",05000US20143,93400,91400,92600,92800
"Pawnee County, KS","county",05000US20145,73700,73800,77400,77200
"Phillips County, KS","county",05000US20147,64400,66100,72700,76500
"Pottawatomie County, KS","county",05000US20149,153700,154800,160700,165900
"Pratt County, KS","county",05000US20151,79000,84300,85900,86300
"Rawlins County, KS","county",05000US20153,66700,72000,75600,81500
"Reno County, KS","county",05000US20155,90600,92500,94100,96100
"Republic County, KS","county",05000US20157,49200,47900,48900,55400
"Rice County, KS","county",05000US20159,74200,77400,75300,74200
"Riley County, KS","county",05000US20161,170400,174800,181200,184500
"Rooks County, KS","county",05000US20163,62500,67500,67900,74600
"Rush County, KS","county",05000US20165,57300,60400,62100,66700
"Russell County, KS","county",05000US20167,65000,76500,81000,85100
"Saline County, KS","county",05000US20169,119500,120400,122200,123200
"Scott County, KS","county",05000US20171,104800,109000,126000,133500
"Sedgwick County, KS","county",05000US20173,124000,125400,126500,128000
"Seward County, KS","county",05000US20175,90000,88900,87100,89400
"Shawnee County, KS","county",05000US20177,120300,120100,122200,125900
"Sheridan County, KS","county",05000US20179,77900,85100,91400,91400
"Sherman County, KS","county",05000US20181,74200,71600,77000,80400
"Smith County, KS","county",05000US20183,60800,65400,64000,65200
"Stafford County, KS","county",05000US20185,60900,58500,65100,64900
"Stanton County, KS","county",05000US20187,81000,79200,73800,76900
"Stevens County, KS","county",05000US20189,86200,88600,96400,98600
"Sumner County, KS","county",05000US20191,85500,84000,83900,84200
"Thomas County, KS","county",05000US20193,97200,103700,105100,110100
"Trego County, KS","county",05000US20195,74500,75400,86900,82000
"Wabaunsee County, KS","county",05000US20197,112200,113300,115300,112700
"Wallace County, KS","county",05000US20199,61900,67700,76300,82500
"Washington County, KS","county",05000US20201,58300,58300,68800,73900
"Wichita County, KS","county",05000US20203,71100,75300,70600,81800
"Wilson County, KS","county",05000US20205,63200,62700,60100,61700
"Woodson County, KS","county",05000US20207,50900,49400,48300,52100
"Wyandotte County, KS","county",05000US20209,93800,91400,89200,90100
"Adair County, KY","county",05000US21001,78600,80100,82400,86100
"Allen County, KY","county",05000US21003,96800,93000,95500,98200
"Anderson County, KY","county",05000US21005,132300,133500,136800,136300
"Ballard County, KY","county",05000US21007,94400,94600,101800,108400
"Barren County, KY","county",05000US21009,105400,101900,105800,108300
"Bath County, KY","county",05000US21011,65400,69700,73500,73500
"Bell County, KY","county",05000US21013,67300,62600,60400,59800
"Boone County, KY","county",05000US21015,172700,174200,175100,178300
"Bourbon County, KY","county",05000US21017,139900,139300,139600,140500
"Boyd County, KY","county",05000US21019,96900,96700,99700,100700
"Boyle County, KY","county",05000US21021,130700,133000,132500,136900
"Bracken County, KY","county",05000US21023,90700,93400,95800,96200
"Breathitt County, KY","county",05000US21025,47400,49300,47500,49600
"Breckinridge County, KY","county",05000US21027,82700,84600,88000,91600
"Bullitt County, KY","county",05000US21029,145500,145700,144700,149000
"Butler County, KY","county",05000US21031,87300,89300,90800,92300
"Caldwell County, KY","county",05000US21033,86600,93700,96700,95600
"Calloway County, KY","county",05000US21035,114800,119500,119900,123400
"Campbell County, KY","county",05000US21037,146300,147700,150400,156600
"Carlisle County, KY","county",05000US21039,73800,72500,77200,78800
"Carroll County, KY","county",05000US21041,99500,97900,99200,104200
"Carter County, KY","county",05000US21043,74500,76000,77100,81000
"Casey County, KY","county",05000US21045,70400,68900,76500,76000
"Christian County, KY","county",05000US21047,101700,106800,108500,109200
"Clark County, KY","county",05000US21049,141000,144800,142700,138000
"Clay County, KY","county",05000US21051,57800,58600,56300,54500
"Clinton County, KY","county",05000US21053,68000,66300,65300,65900
"Crittenden County, KY","county",05000US21055,72500,71800,76000,78500
"Cumberland County, KY","county",05000US21057,63400,62600,63500,82100
"Daviess County, KY","county",05000US21059,110500,113100,115400,119400
"Edmonson County, KY","county",05000US21061,90600,92700,88800,86600
"Elliott County, KY","county",05000US21063,71400,64600,66100,70700
"Estill County, KY","county",05000US21065,71900,69400,71400,74200
"Fayette County, KY","county",05000US21067,165800,166000,168100,170800
"Fleming County, KY","county",05000US21069,78700,78900,86700,86400
"Floyd County, KY","county",05000US21071,70000,72000,70600,69400
"Franklin County, KY","county",05000US21073,139300,138600,137500,138800
"Fulton County, KY","county",05000US21075,60400,59200,61000,61600
"Gallatin County, KY","county",05000US21077,98400,98900,107500,108700
"Garrard County, KY","county",05000US21079,121400,124300,128500,129500
"Grant County, KY","county",05000US21081,124300,128200,124900,122000
"Graves County, KY","county",05000US21083,85900,89200,92900,94400
"Grayson County, KY","county",05000US21085,87700,90400,95500,102700
"Green County, KY","county",05000US21087,70100,71400,74200,75000
"Greenup County, KY","county",05000US21089,92000,93600,97700,99700
"Hancock County, KY","county",05000US21091,90800,96600,104200,105600
"Hardin County, KY","county",05000US21093,140600,141200,143100,145700
"Harlan County, KY","county",05000US21095,52000,50300,52000,52700
"Harrison County, KY","county",05000US21097,109400,110300,113000,123700
"Hart County, KY","county",05000US21099,78900,84900,83600,83600
"Henderson County, KY","county",05000US21101,99400,101500,105500,113500
"Henry County, KY","county",05000US21103,123300,122000,121300,122300
"Hickman County, KY","county",05000US21105,62400,64400,68400,68200
"Hopkins County, KY","county",05000US21107,83300,87200,89500,92500
"Jackson County, KY","county",05000US21109,62100,60500,65900,79400
"Jefferson County, KY","county",05000US21111,149100,149900,150400,154100
"Jessamine County, KY","county",05000US21113,154300,158200,160400,160500
"Johnson County, KY","county",05000US21115,78700,79800,79200,83800
"Kenton County, KY","county",05000US21117,144300,143900,145200,147000
"Knott County, KY","county",05000US21119,59600,61300,57900,50900
"Knox County, KY","county",05000US21121,71400,73600,78400,77000
"Larue County, KY","county",05000US21123,101000,106000,110100,111600
"Laurel County, KY","county",05000US21125,91300,91000,94400,99900
"Lawrence County, KY","county",05000US21127,80200,84400,81400,82800
"Lee County, KY","county",05000US21129,62200,64600,67700,63800
"Leslie County, KY","county",05000US21131,44700,46500,45500,44200
"Letcher County, KY","county",05000US21133,54900,57900,56300,57300
"Lewis County, KY","county",05000US21135,59900,62600,67100,63500
"Lincoln County, KY","county",05000US21137,88500,89100,93600,89400
"Livingston County, KY","county",05000US21139,74400,79500,86900,88700
"Logan County, KY","county",05000US21141,89100,90700,94600,96500
"Lyon County, KY","county",05000US21143,105500,116000,141000,129400
"McCracken County, KY","county",05000US21145,117200,121500,124400,127600
"McCreary County, KY","county",05000US21147,65000,63100,62300,62500
"McLean County, KY","county",05000US21149,79000,81400,91700,98200
"Madison County, KY","county",05000US21151,141100,144000,144800,147400
"Magoffin County, KY","county",05000US21153,43700,49700,53100,56500
"Marion County, KY","county",05000US21155,100200,98700,98200,99700
"Marshall County, KY","county",05000US21157,101800,105200,111600,115300
"Martin County, KY","county",05000US21159,84400,78800,68200,75600
"Mason County, KY","county",05000US21161,99000,102600,101100,105600
"Meade County, KY","county",05000US21163,120500,123500,126100,134700
"Menifee County, KY","county",05000US21165,77300,80100,78100,78500
"Mercer County, KY","county",05000US21167,128400,131500,133600,134000
"Metcalfe County, KY","county",05000US21169,78800,82000,82600,77600
"Monroe County, KY","county",05000US21171,72300,72000,70600,71600
"Montgomery County, KY","county",05000US21173,109300,111800,114000,114500
"Morgan County, KY","county",05000US21175,74500,75600,75500,76900
"Muhlenberg County, KY","county",05000US21177,79500,78200,77800,81400
"Nelson County, KY","county",05000US21179,124500,125200,133600,139000
"Nicholas County, KY","county",05000US21181,84900,83200,83900,86200
"Ohio County, KY","county",05000US21183,78800,80900,83700,85400
"Oldham County, KY","county",05000US21185,245700,246000,247500,250500
"Owen County, KY","county",05000US21187,96800,99100,98000,97000
"Owsley County, KY","county",05000US21189,56200,70100,69800,66200
"Pendleton County, KY","county",05000US21191,105000,103900,104800,102100
"Perry County, KY","county",05000US21193,65600,69200,71200,72800
"Pike County, KY","county",05000US21195,66400,67300,70400,73100
"Powell County, KY","county",05000US21197,77800,78100,76600,80200
"Pulaski County, KY","county",05000US21199,106700,105100,106800,109100
"Robertson County, KY","county",05000US21201,81900,89900,104000,115000
"Rockcastle County, KY","county",05000US21203,74800,75300,73900,75100
"Rowan County, KY","county",05000US21205,96700,105000,115300,117300
"Russell County, KY","county",05000US21207,86600,84800,88000,88600
"Scott County, KY","county",05000US21209,161300,160400,164600,167700
"Shelby County, KY","county",05000US21211,165000,170300,175700,176800
"Simpson County, KY","county",05000US21213,115200,116800,116800,119700
"Spencer County, KY","county",05000US21215,170300,174600,176900,186100
"Taylor County, KY","county",05000US21217,96800,96300,93700,104300
"Todd County, KY","county",05000US21219,85000,86000,87300,89700
"Trigg County, KY","county",05000US21221,115000,117000,114100,116600
"Trimble County, KY","county",05000US21223,107300,106200,112000,114400
"Union County, KY","county",05000US21225,74900,80700,84100,82100
"Warren County, KY","county",05000US21227,140700,141300,141500,146100
"Washington County, KY","county",05000US21229,107300,100500,98100,100700
"Wayne County, KY","county",05000US21231,80500,77200,80300,80700
"Webster County, KY","county",05000US21233,70500,72800,74600,78700
"Whitley County, KY","county",05000US21235,71500,75300,77900,79100
"Wolfe County, KY","county",05000US21237,52800,51500,52700,64000
"Woodford County, KY","county",05000US21239,185900,183300,181300,182700
"Acadia Parish, LA","county",05000US22001,88600,88500,91000,91600
"Allen Parish, LA","county",05000US22003,79600,80800,81100,82700
"Ascension Parish, LA","county",05000US22005,167400,166300,168600,172300
"Assumption Parish, LA","county",05000US22007,98100,104800,107300,108600
"Avoyelles Parish, LA","county",05000US22009,86600,89600,89500,93000
"Beauregard Parish, LA","county",05000US22011,93900,97300,104100,108700
"Bienville Parish, LA","county",05000US22013,58100,60900,69600,78300
"Bossier Parish, LA","county",05000US22015,146300,147500,154100,158400
"Caddo Parish, LA","county",05000US22017,121700,123100,128100,132400
"Calcasieu Parish, LA","county",05000US22019,118300,119100,124600,126600
"Caldwell Parish, LA","county",05000US22021,66200,66800,64400,61200
"Cameron Parish, LA","county",05000US22023,112900,104400,97400,94800
"Catahoula Parish, LA","county",05000US22025,68500,65600,71100,73700
"Claiborne Parish, LA","county",05000US22027,70500,74800,73700,76100
"Concordia Parish, LA","county",05000US22029,75000,78800,77400,77800
"De Soto Parish, LA","county",05000US22031,87900,91300,98400,103600
"East Baton Rouge Parish, LA","county",05000US22033,166000,166800,170500,173200
"East Carroll Parish, LA","county",05000US22035,48500,48300,49300,55900
"East Feliciana Parish, LA","county",05000US22037,116600,128000,127100,137100
"Evangeline Parish, LA","county",05000US22039,80000,79800,83900,86600
"Franklin Parish, LA","county",05000US22041,75200,76800,79300,82100
"Grant Parish, LA","county",05000US22043,78300,80400,83200,87200
"Iberia Parish, LA","county",05000US22045,101200,99200,99600,100300
"Iberville Parish, LA","county",05000US22047,93300,105300,112700,115500
"Jackson Parish, LA","county",05000US22049,77800,77000,77200,85300
"Jefferson Parish, LA","county",05000US22051,172500,171100,172700,173500
"Jefferson Davis Parish, LA","county",05000US22053,86600,91700,91900,97600
"Lafayette Parish, LA","county",05000US22055,162500,163800,166700,168300
"Lafourche Parish, LA","county",05000US22057,126500,131700,133200,138200
"LaSalle Parish, LA","county",05000US22059,73900,70800,70300,69100
"Lincoln Parish, LA","county",05000US22061,116900,118400,126100,141300
"Livingston Parish, LA","county",05000US22063,152500,151100,152600,152700
"Madison Parish, LA","county",05000US22065,69500,62600,61700,62000
"Morehouse Parish, LA","county",05000US22067,74600,77400,80600,80500
"Natchitoches Parish, LA","county",05000US22069,97200,100600,101900,105400
"Orleans Parish, LA","county",05000US22071,183700,184100,192400,197000
"Ouachita Parish, LA","county",05000US22073,118200,122400,123300,128500
"Plaquemines Parish, LA","county",05000US22075,176900,159700,155300,153700
"Pointe Coupee Parish, LA","county",05000US22077,113100,115300,115800,121400
"Rapides Parish, LA","county",05000US22079,120400,121800,125800,129000
"Red River Parish, LA","county",05000US22081,78700,81300,83000,83900
"Richland Parish, LA","county",05000US22083,76900,81300,82500,86900
"Sabine Parish, LA","county",05000US22085,75300,78100,79900,78900
"St. Bernard Parish, LA","county",05000US22087,127200,127300,130000,133400
"St. Charles Parish, LA","county",05000US22089,186400,181000,184300,190200
"St. Helena Parish, LA","county",05000US22091,80600,83400,78400,89900
"St. James Parish, LA","county",05000US22093,125000,128100,129200,134500
"St. John the Baptist Parish, LA","county",05000US22095,149900,149200,150000,151000
"St. Landry Parish, LA","county",05000US22097,83600,88700,90800,95200
"St. Martin Parish, LA","county",05000US22099,97300,98500,101700,108900
"St. Mary Parish, LA","county",05000US22101,88800,89700,92900,95500
"St. Tammany Parish, LA","county",05000US22103,194500,197500,197100,202000
"Tangipahoa Parish, LA","county",05000US22105,135400,135400,137500,143300
"Tensas Parish, LA","county",05000US22107,58900,55600,54200,57200
"Terrebonne Parish, LA","county",05000US22109,131600,133900,137000,139200
"Union Parish, LA","county",05000US22111,79700,83300,88000,89500
"Vermilion Parish, LA","county",05000US22113,96400,97600,98100,103800
"Vernon Parish, LA","county",05000US22115,90800,93400,98000,107900
"Washington Parish, LA","county",05000US22117,81900,79200,79600,82100
"Webster Parish, LA","county",05000US22119,79300,82400,81800,80800
"West Baton Rouge Parish, LA","county",05000US22121,141900,149500,162500,168600
"West Carroll Parish, LA","county",05000US22123,68500,67000,66800,73100
"West Feliciana Parish, LA","county",05000US22125,196300,166000,188200,197700
"Winn Parish, LA","county",05000US22127,64300,68400,73100,71700
"Androscoggin County, ME","county",05000US23001,154800,152800,151100,152100
"Aroostook County, ME","county",05000US23003,90800,92500,94800,95800
"Cumberland County, ME","county",05000US23005,241800,242000,243800,251300
"Franklin County, ME","county",05000US23007,132400,130800,129600,132400
"Hancock County, ME","county",05000US23009,198300,197800,198300,199800
"Kennebec County, ME","county",05000US23011,152800,151400,150600,151100
"Knox County, ME","county",05000US23013,195700,193300,197000,198100
"Lincoln County, ME","county",05000US23015,208000,209900,204100,209700
"Oxford County, ME","county",05000US23017,137200,136100,135500,132900
"Penobscot County, ME","county",05000US23019,137700,137700,137400,137000
"Piscataquis County, ME","county",05000US23021,105000,107300,109700,106800
"Sagadahoc County, ME","county",05000US23023,189700,190800,189300,194600
"Somerset County, ME","county",05000US23025,111100,110500,107300,107100
"Waldo County, ME","county",05000US23027,156000,156000,157800,158400
"Washington County, ME","county",05000US23029,103500,104700,106900,107400
"York County, ME","county",05000US23031,227800,226700,229600,229600
"Allegany County, MD","county",05000US24001,121300,120800,120800,118800
"Anne Arundel County, MD","county",05000US24003,340000,333100,334100,338500
"Baltimore County, MD","county",05000US24005,253300,248700,246600,246900
"Calvert County, MD","county",05000US24009,357000,347300,341800,344300
"Caroline County, MD","county",05000US24011,212800,203900,193300,192600
"Carroll County, MD","county",05000US24013,325900,322000,321300,324300
"Cecil County, MD","county",05000US24015,254800,244600,242900,239900
"Charles County, MD","county",05000US24017,297900,287000,284500,287600
"Dorchester County, MD","county",05000US24019,191100,188100,187700,188100
"Frederick County, MD","county",05000US24021,307000,301300,300100,306100
"Garrett County, MD","county",05000US24023,168600,165500,165300,169400
"Harford County, MD","county",05000US24025,281800,279300,278500,278100
"Howard County, MD","county",05000US24027,428100,426300,429100,434700
"Kent County, MD","county",05000US24029,258200,244600,247200,238800
"Montgomery County, MD","county",05000US24031,446300,448700,454700,460100
"Prince George's County, MD","county",05000US24033,269800,258800,254700,261400
"Queen Anne's County, MD","county",05000US24035,348100,341100,339900,343900
"St. Mary's County, MD","county",05000US24037,304700,300200,297200,295900
"Somerset County, MD","county",05000US24039,153600,149700,149600,131800
"Talbot County, MD","county",05000US24041,327400,324100,319500,320500
"Washington County, MD","county",05000US24043,206100,200700,200100,198900
"Wicomico County, MD","county",05000US24045,181900,175500,172400,173100
"Worcester County, MD","county",05000US24047,253400,242000,243100,243600
"Baltimore city, MD","county",05000US24510,157900,155000,152400,153000
"Barnstable County, MA","county",05000US25001,366700,362800,363500,367200
"Berkshire County, MA","county",05000US25003,206600,204100,204700,204200
"Bristol County, MA","county",05000US25005,278100,275400,273100,273700
"Dukes County, MA","county",05000US25007,665300,641100,660800,656000
"Essex County, MA","county",05000US25009,349400,349300,353100,362200
