fips2010,rent50_0,rent50_1,rent50_2,rent50_3,rent50_4,cntyname,pop2010,hu2010,state_alpha
5002147425,796,813,979,1278,1451,Rutland County,255,153,VT
5002154250,796,813,979,1278,1451,Rutland County,1477,771,VT
5002155450,796,813,979,1278,1451,Rutland County,546,435,VT
5002155600,796,813,979,1278,1451,Rutland County,2991,1426,VT
5002156875,796,813,979,1278,1451,Rutland County,3432,1670,VT
5002157250,796,813,979,1278,1451,Rutland County,1741,780,VT
5002161225,796,813,979,1278,1451,Rutland County,16495,8082,VT
5002161300,796,813,979,1278,1451,Rutland County,4054,1871,VT
5002165275,796,813,979,1278,1451,Rutland County,1056,568,VT
5002171050,796,813,979,1278,1451,Rutland County,560,392,VT
5002172925,796,813,979,1278,1451,Rutland County,613,362,VT
5002175925,796,813,979,1278,1451,Rutland County,2079,1088,VT
5002177950,796,813,979,1278,1451,Rutland County,1150,927,VT
5002180875,796,813,979,1278,1451,Rutland County,264,131,VT
5002182300,796,813,979,1278,1451,Rutland County,2326,1076,VT
5002303175,857,862,1135,1428,1715,Washington County,9052,4504,VT
5002303250,857,862,1135,1428,1715,Washington County,7924,3402,VT
5002305650,857,862,1135,1428,1715,Washington County,2887,1236,VT
5002311125,857,862,1135,1428,1715,Washington County,1433,771,VT
5002311350,857,862,1135,1428,1715,Washington County,1607,842,VT
5002318550,857,862,1135,1428,1715,Washington County,1337,639,VT
5002321925,857,862,1135,1428,1715,Washington County,2576,1129,VT
5002325825,857,862,1135,1428,1715,Washington County,1353,1201,VT
5002343600,857,862,1135,1428,1715,Washington County,1588,729,VT
5002344500,857,862,1135,1428,1715,Washington County,1731,764,VT
5002346000,857,862,1135,1428,1715,Washington County,7855,4034,VT
5002346225,857,862,1135,1428,1715,Washington County,1658,797,VT
5002350275,857,862,1135,1428,1715,Washington County,6207,2101,VT
5002355825,857,862,1135,1428,1715,Washington County,1243,565,VT
5002360625,857,862,1135,1428,1715,Washington County,691,441,VT
5002375325,857,862,1135,1428,1715,Washington County,1719,1011,VT
5002376525,857,862,1135,1428,1715,Washington County,1705,2232,VT
5002376975,857,862,1135,1428,1715,Washington County,5064,2385,VT
5002385525,857,862,1135,1428,1715,Washington County,906,713,VT
5002386125,857,862,1135,1428,1715,Washington County,998,445,VT
5002501900,739,854,1075,1348,1622,Windham County,442,231,VT
5002507900,739,854,1075,1348,1622,Windham County,12046,5998,VT
5002509475,739,854,1075,1348,1622,Windham County,530,294,VT
5002517875,739,854,1075,1348,1622,Windham County,1124,3054,VT
5002518325,739,854,1075,1348,1622,Windham County,1864,950,VT
5002528900,739,854,1075,1348,1622,Windham County,679,486,VT
5002530925,739,854,1075,1348,1622,Windham County,2121,1038,VT
5002531150,739,854,1075,1348,1622,Windham County,728,542,VT
5002536175,739,854,1075,1348,1622,Windham County,1035,1055,VT
5002540225,739,854,1075,1348,1622,Windham County,1769,1476,VT
5002543375,739,854,1075,1348,1622,Windham County,1078,526,VT
5002548400,739,854,1075,1348,1622,Windham County,1726,1090,VT
5002557700,739,854,1075,1348,1622,Windham County,2702,1146,VT
5002560250,739,854,1075,1348,1622,Windham County,5282,2551,VT
5002565762,739,854,1075,1348,1622,Windham County,3,21,VT
5002570750,739,854,1075,1348,1622,Windham County,216,1447,VT
5002573300,739,854,1075,1348,1622,Windham County,1232,784,VT
5002574800,739,854,1075,1348,1622,Windham County,2206,924,VT
5002576225,739,854,1075,1348,1622,Windham County,900,849,VT
5002581400,739,854,1075,1348,1622,Windham County,3178,1466,VT
5002583950,739,854,1075,1348,1622,Windham County,1357,918,VT
5002584700,739,854,1075,1348,1622,Windham County,1876,2493,VT
5002584850,739,854,1075,1348,1622,Windham County,419,396,VT
5002701300,788,916,1115,1523,1798,Windsor County,467,408,VT
5002702575,788,916,1115,1523,1798,Windsor County,244,100,VT
5002702725,788,916,1115,1523,1798,Windsor County,947,716,VT
5002705800,788,916,1115,1523,1798,Windsor County,2030,1043,VT
5002708275,788,916,1115,1523,1798,Windsor County,936,688,VT
5002712250,788,916,1115,1523,1798,Windsor County,1367,965,VT
5002713675,788,916,1115,1523,1798,Windsor County,3154,1793,VT
5002732275,788,916,1115,1523,1798,Windsor County,9952,5816,VT
5002732425,788,916,1115,1523,1798,Windsor County,3393,1584,VT
5002741275,788,916,1115,1523,1798,Windsor County,1963,3285,VT
5002752900,788,916,1115,1523,1798,Windsor County,3414,1553,VT
5002756050,788,916,1115,1523,1798,Windsor County,619,864,VT
5002756350,788,916,1115,1523,1798,Windsor County,904,544,VT
5002758375,788,916,1115,1523,1798,Windsor County,666,448,VT
5002760100,788,916,1115,1523,1798,Windsor County,1139,832,VT
5002760850,788,916,1115,1523,1798,Windsor County,2773,1471,VT
5002763775,788,916,1115,1523,1798,Windsor County,1502,735,VT
5002769550,788,916,1115,1523,1798,Windsor County,9373,4324,VT
5002770375,788,916,1115,1523,1798,Windsor County,736,553,VT
5002777500,788,916,1115,1523,1798,Windsor County,2825,1427,VT
5002782000,788,916,1115,1523,1798,Windsor County,566,565,VT
5002783050,788,916,1115,1523,1798,Windsor County,1099,799,VT
5002784925,788,916,1115,1523,1798,Windsor County,3553,1712,VT
5002785975,788,916,1115,1523,1798,Windsor County,3048,1893,VT
5100199999,631,732,864,1083,1177,Accomack County,33164,21002,VA
5100399999,811,1107,1271,1594,1910,Albemarle County,98970,42122,VA
5100599999,523,570,716,972,975,Alleghany County,16250,8074,VA
5100799999,924,970,1114,1482,1800,Amelia County,12690,5359,VA
5100999999,608,680,848,1154,1370,Amherst County,32353,13976,VA
5101199999,608,680,848,1154,1370,Appomattox County,14973,6921,VA
5101399999,1504,1561,1793,2353,2902,Arlington County,207627,105404,VA
5101599999,696,700,912,1240,1242,Augusta County,73750,31194,VA
5101799999,500,557,684,907,1101,Bath County,4731,3270,VA
5101999999,608,680,848,1154,1370,Bedford County,68676,31937,VA
5102199999,503,517,688,914,1079,Bland County,6824,3265,VA
5102399999,590,719,912,1253,1381,Botetourt County,33148,14562,VA
5102599999,653,671,893,1120,1248,Brunswick County,17434,8166,VA
5102799999,531,632,726,910,989,Buchanan County,24098,11576,VA
5102999999,495,676,776,1007,1345,Buckingham County,17146,7244,VA
5103199999,608,680,848,1154,1370,Campbell County,54842,24769,VA
5103399999,924,970,1114,1482,1800,Caroline County,28545,11729,VA
5103599999,500,596,684,966,1073,Carroll County,30042,16569,VA
5103699999,924,970,1114,1482,1800,Charles City County,7256,3229,VA
5103799999,500,557,684,858,932,Charlotte County,12586,6273,VA
5104199999,924,970,1114,1482,1800,Chesterfield County,316236,122555,VA
5104399999,1504,1561,1793,2353,2902,Clarke County,14034,6235,VA
5104599999,590,719,912,1253,1381,Craig County,5190,2809,VA
5104799999,933,938,1108,1575,1952,Culpeper County,46689,17657,VA
5104999999,694,773,949,1190,1488,Cumberland County,10052,4626,VA
5105199999,500,596,684,858,1157,Dickenson County,15903,7579,VA
5105399999,924,970,1114,1482,1800,Dinwiddie County,28001,11422,VA
5105799999,720,741,985,1235,1545,Essex County,11151,5757,VA
5105999999,1504,1561,1793,2353,2902,Fairfax County,1081726,407998,VA
5106199999,1504,1561,1793,2353,2902,Fauquier County,65203,25600,VA
5106399999,556,596,684,917,1205,Floyd County,15279,7790,VA
5106599999,811,1107,1271,1594,1910,Fluvanna County,25691,10383,VA
5106799999,511,577,767,1014,1225,Franklin County,56159,29315,VA
5106999999,760,765,1018,1437,1793,Frederick County,78305,31346,VA
5107199999,553,557,721,904,1232,Giles County,17286,8319,VA
5107399999,970,976,1172,1640,2047,Gloucester County,36858,15852,VA
5107599999,924,970,1114,1482,1800,Goochland County,21717,8618,VA
5107799999,500,596,684,962,1047,Grayson County,15533,9156,VA
5107999999,811,1107,1271,1594,1910,Greene County,18403,7509,VA
5108199999,601,619,823,1128,1291,Greensville County,12243,4090,VA
5108399999,504,567,690,865,940,Halifax County,36241,18004,VA
5108599999,924,970,1114,1482,1800,Hanover County,99863,38360,VA
